,y,mu,y_real,mu_real
0,-0.10027050482755452,-0.009695803220820694,0.046999999999999986,0.06791801539056416
1,0.3840158441694699,-0.017412056899475153,0.3364999999999999,0.06582090640356968
2,0.12410998754968401,-0.04565573285944356,0.11699999999999999,0.05868223778159413
3,0.2993272408600564,-0.06288445026768387,0.23849999999999996,0.05471339291921014
4,-0.35046087890934063,-0.0246697783005032,0.01699999999999999,0.06390754799752323
5,0.40769697030433544,0.00033264986798321326,0.3705,0.0707436932770562
6,-0.11930949203165538,-0.03545501177851147,0.04349999999999998,0.06116648234525
7,0.2993272408600564,-0.045966872611205564,0.23849999999999996,0.058608070927525846
8,-0.0012152338202933823,0.0006706068320212429,0.07030000000000002,0.07084093882640831
9,0.13641375815962356,0.006012302459216886,0.12300000000000003,0.07239586214316304
10,0.3491187110221601,-0.0003806659430245227,0.2920000000000001,0.07053887796476337
11,0.4457640100233302,0.09541045678140828,0.4325,0.1041175575476812
12,0.4364899173905779,-0.02734597026206739,0.41650000000000004,0.06321614419574086
13,0.268017771238462,0.19055264639509,0.21,0.15327589681112855
14,0.2644777945107522,-0.03182509085656615,0.207,0.062075643248326845
15,0.17825052304553124,0.0025107127372648295,0.14579999999999999,0.07137277092506349
16,0.1219981794077044,-0.05057204658089069,0.116,0.05752122634613506
17,0.1433166918084365,-0.07110732274545054,0.12649999999999992,0.05291492796595087
18,0.46882446203735595,-0.03267452391370454,0.4749999999999999,0.06186168789746377
19,0.449993755545409,0.10588327307248259,0.4400000000000001,0.10864534577006237
20,-0.3653759992297181,-0.04523734314024969,0.01599999999999998,0.05878211795469167
21,-0.1525657503510478,-0.013313830915115437,0.03799999999999997,0.06692652227232183
