,y,mu,y_real,mu_real
0,-0.20182904782434782,-1.1914817554457356e-07,0.027499999999999986,0.05780178941614971
1,-0.06205082224193054,0.00011598496035318873,0.04599999999999999,0.05782649470108322
2,0.1292155444855005,-9.645259425378055e-08,0.09300000000000001,0.057801794244411536
3,0.48853309165210124,2.018175169351255e-08,0.349,0.05780181905722849
4,-0.21706863175535343,3.180516663080218e-08,0.025999999999999995,0.05780182152999695
5,0.01239588310690313,-6.446208918705697e-06,0.0605,0.057800443411900375
6,-0.8038034222722685,-1.55502553724593e-07,0.0030000000000000044,0.057801781682113966
7,0.48103468447239217,0.00023261293247116096,0.3395,0.05785132208761757
8,-0.8038034222722685,-3.7285672773459864e-07,0.0030000000000000044,0.05780173544217665
9,-0.050487317456947595,-0.005938524040971303,0.048,0.05655215814907491
10,0.4649627476457619,-7.705254440234058e-08,0.32,0.05780179837158175
11,0.5785033812531738,0.0031376173515309798,0.48600000000000004,0.058473181299106634
12,-0.842684114984635,-2.813755616232411e-07,0.002600000000000006,0.05780175490387977
13,0.5742777696096938,1.4686821339435452e-09,0.4784999999999999,0.057801815076205146
14,0.3973465838448648,-2.0796267980946666e-07,0.2495,0.057801770521740854
15,0.5915999574940313,-2.0758029580057083e-07,0.51,0.05780177060308927
16,0.2841698352722379,-1.8604619514468523e-07,0.16450000000000004,0.05780177518425599
17,0.5401382510335669,-1.396411001121115e-07,0.42200000000000004,0.057801785056481814
18,0.09167991071894023,-1.1885802413899478e-07,0.08099999999999997,0.05780178947787658
19,-0.3169799517380355,-2.1491568450138022e-07,0.018000000000000002,0.057801769042558016
20,-0.10002433096572905,-2.2176476029284767e-07,0.04000000000000001,0.05780176758548508
21,0.3063618667405573,-5.186031743835371e-07,0.1785,0.05780170443609141
22,-0.2445365834074005,5.5912588987421925e-09,0.02350000000000002,0.05780181595324319
23,-0.07723361834700894,-9.788987246754984e-08,0.043500000000000004,0.057801793938644715
24,0.2791690557218045,-2.5721284947668342e-05,0.1615,0.057796343070055364
25,0.6409149020471242,9.412121129910847e-09,0.6114999999999998,0.0578018167660944
26,0.03397081195266719,-4.266118026598497e-09,0.06550000000000002,0.057801813856182285
27,-0.19693339551537273,-9.355724992649479e-08,0.028000000000000004,0.057801794860367614
