,y,mu,y_real,mu_real
0,-0.23738908277196377,1.7746165541885507e-24,0.014999999999999998,0.03354987932646961
1,0.6737105553094709,1.066052145414611e-07,0.3295,0.03354989145464563
2,-0.3425723362092385,5.96291476740483e-23,0.010499999999999997,0.03354987932646961
3,0.10562347948578141,3.596502169038978e-24,0.04799999999999998,0.03354987932646961
4,0.22723576164032197,-1.6679293028881338e-20,0.0725,0.03354987932646961
5,0.4962266113315433,1.6020996574178416e-07,0.1805,0.03354989755310936
6,-0.5076027378402055,9.474606333887168e-24,0.006000000000000004,0.03354987932646961
7,0.15630202989913075,1.6092246274840662e-11,0.056999999999999995,0.03354987932830039
8,-0.04810670920953166,-9.733990745047855e-22,0.028499999999999994,0.03354987932646961
9,0.7430208189896835,4.048684604719448e-24,0.41679999999999995,0.03354987932646961
10,0.24690301291541852,-1.0035782309999405e-22,0.07749999999999999,0.03354987932646961
11,0.08659110353496015,6.180676481633462e-07,0.044999999999999984,0.03354994964235199
12,0.09941484018266684,-3.5394157099994336e-23,0.04700000000000001,0.03354987932646961
13,0.20833894049502538,-4.254010624906267e-22,0.068,0.03354987932646961
14,-0.1676781564077933,-1.696216782664412e-23,0.018999999999999993,0.03354987932646961
15,-0.0640511043350202,1.7071033354758427e-24,0.026999999999999996,0.03354987932646961
16,0.1834667801662587,-1.7116844049840965e-22,0.0625,0.03354987932646961
17,-0.3425723362092382,5.119353253521482e-25,0.010500000000000006,0.03354987932646961
18,0.40616972344049906,8.702084707370781e-12,0.1330000000000001,0.033549879327459634
19,-0.5613692690788873,-3.1905757663206454e-20,0.005000000000000006,0.03354987932646961
20,0.02886613065779929,2.0135252322322595e-14,0.037000000000000005,0.03354987932647191
21,0.5415688432318617,6.006449504916939e-09,0.21049999999999996,0.0335498800098064
22,0.024853831020042336,4.8756379783149385e-24,0.0365,0.03354987932646961
23,0.3161128355494546,2.659231713299428e-05,0.09800000000000002,0.03355290479560507
24,0.1205962115436574,-2.865895346533943e-23,0.050499999999999996,0.03354987932646961
25,0.13761436406847807,-6.999632791128627e-21,0.053499999999999985,0.03354987932646961
26,0.44554806091819404,2.003458391631639e-16,0.15200000000000002,0.03354987932646964
27,-0.46214378340750034,-1.9529513734795652e-25,0.006999999999999991,0.03354987932646961
28,-0.2092821608592413,-5.6298429907764255e-12,0.01650000000000001,0.033549879325829125
29,-0.2911556140106453,4.157975916186401e-24,0.012500000000000016,0.03354987932646961
